amfi_code,cagr_pct,sharpe_ratio,alpha,max_drawdown_pct,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,score
102886,1.17,-0.206,0.029,-28.0,40.0,36.0,40.0,35.0,37.75
119095,1.52,-0.076,0.048,-51.68,39.0,33.0,37.0,39.0,37.1
119599,2.05,-0.057,0.0488,-52.57,38.0,32.0,36.0,40.0,36.599999999999994
100016,2.64,-0.202,0.0375,-24.73,37.0,35.0,39.0,34.0,36.150000000000006
120842,6.7,0.076,0.078,-24.0,31.0,30.0,29.0,33.0,30.849999999999998
101207,7.94,0.163,0.109,-35.45,27.0,28.0,27.0,38.0,30.0
100025,4.46,-0.567,0.0428,-4.31,36.0,39.0,38.0,4.0,29.15
119093,7.9,0.13,0.0823,-21.75,28.0,29.0,28.0,31.0,29.0
118636,5.32,-0.357,0.0507,-8.32,35.0,38.0,35.0,6.0,28.5
119120,5.89,-0.227,0.0562,-4.33,34.0,37.0,34.0,5.0,27.5
119092,6.37,0.031,0.069,-14.4,33.0,31.0,30.0,15.0,27.4
125498,11.3,0.301,0.1199,-21.12,26.0,27.0,26.0,29.0,27.0
101208,6.51,-0.816,0.0609,-0.16,32.0,40.0,33.0,3.0,26.950000000000003
118634,16.37,0.448,0.175,-23.34,21.0,26.0,18.0,32.0,24.400000000000002
120844,6.92,-0.089,0.0646,-0.12,30.0,34.0,32.0,2.0,24.4
120841,13.53,0.494,0.1304,-17.57,24.0,24.0,25.0,24.0,24.2
102887,16.84,0.62,0.1621,-21.54,20.0,22.0,21.0,30.0,23.2
118633,16.27,0.645,0.1564,-18.63,22.0,21.0,22.0,26.0,22.75
149322,13.39,0.464,0.1317,-14.84,25.0,25.0,24.0,16.0,22.55
120506,17.08,0.649,0.1625,-19.83,19.0,20.0,20.0,27.0,21.45
120507,7.24,0.496,0.0675,-0.1,29.0,23.0,31.0,1.0,20.9
118635,15.96,0.665,0.1514,-11.65,23.0,19.0,23.0,10.0,18.75
125497,19.02,0.776,0.1773,-15.2,16.0,18.0,16.0,18.0,17.0
120503,18.79,0.798,0.177,-13.9,17.0,17.0,17.0,14.0,16.25
148568,22.52,0.926,0.2087,-15.27,14.0,15.0,14.0,19.0,15.5
102885,18.23,0.817,0.1705,-10.86,18.0,16.0,19.0,7.0,14.95
119094,28.21,0.998,0.2608,-20.96,9.0,11.0,9.0,28.0,14.25
149324,32.29,0.95,0.3006,-31.17,3.0,13.0,2.0,37.0,13.8
119598,32.42,0.945,0.3034,-28.71,2.0,14.0,1.0,36.0,13.3
119552,21.52,0.953,0.1987,-11.8,15.0,12.0,15.0,11.0,13.25
118632,24.05,1.082,0.2183,-17.41,11.0,8.0,11.0,23.0,13.25
120504,23.3,1.027,0.2119,-12.59,13.0,9.5,13.0,12.0,11.875
149323,29.58,1.132,0.266,-17.25,8.0,6.0,8.0,22.0,11.0
101206,23.54,1.027,0.214,-11.29,12.0,9.5,12.0,9.0,10.625
119551,25.8,1.208,0.232,-15.01,10.0,4.0,10.0,17.0,10.25
100033,30.12,1.094,0.272,-16.22,7.0,7.0,6.0,20.0,10.05
120505,32.83,1.18,0.2926,-18.19,1.0,5.0,3.0,25.0,8.4
148569,31.95,1.235,0.2827,-16.4,4.0,3.0,4.0,21.0,8.0
120843,30.91,1.307,0.2733,-12.97,6.0,2.0,5.0,13.0,6.55
148567,30.97,1.448,0.2698,-11.27,5.0,1.0,7.0,8.0,5.15
